ville,lien,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
Achères-la-Forêt (77760),/management/ville/acheres-la-foret/ville-77001,6.6,7.3,7,7,5.9,5.4,6.7,7,7,7.6,8.1,8.2,8.3,8,7.6,7.5,7
Achery (02800),/management/ville/achery/ville-02002,11.7,11.9,12.5,12.5,11.6,11.4,13.9,14,14.1,14.9,15.3,15.1,15.1,14.9,14.2,13.6,12.7
Acheux-en-Amiénois (80560),/management/ville/acheux-en-amienois/ville-80003,9.6,10.1,10.4,10.4,9.8,9,10.9,11,10.9,11.8,12.3,12,12.1,12,11.4,11,10.4
Acheux-en-Vimeu (80210),/management/ville/acheux-en-vimeu/ville-80004,7.8,8.2,8,8,7.2,7.4,10.7,9.6,9.3,10,10.6,10.3,10.5,10.5,9.5,9.2,8.7
Acheville (62320),/management/ville/acheville/ville-62003,13.6,14.6,15.5,15.5,13.9,13.3,15.5,15.2,15.1,16.3,17,16.5,16.2,15.4,14.3,13.7,12.6
Achey (70180),/management/ville/achey/ville-70003,7,7.2,7.5,7.5,6.5,6.3,8.5,7.7,7.7,8.8,9.5,9.7,9.7,9.4,8.9,8.2,7.8
Achicourt (62217),/management/ville/achicourt/ville-62004,7,7.4,8,8,7.3,7,8.5,8.6,8.7,9.2,9.6,9.4,9.3,8.9,8.3,8,7.5
Achiet-le-Grand (62121),/management/ville/achiet-le-grand/ville-62005,7,7.4,8,8,7.3,7,8.5,8.6,8.7,9.2,9.6,9.4,9.3,8.9,8.3,8,7.5
Achiet-le-Petit (62121),/management/ville/achiet-le-petit/ville-62006,7,7.4,8,8,7.3,7,8.5,8.6,8.7,9.2,9.6,9.4,9.3,8.9,8.3,8,7.5
Achun (58110),/management/ville/achun/ville-58001,6.6,6.7,7,7,6.5,6.1,7.2,7.5,7.7,8.4,8.6,8.5,8.7,8.5,7.7,7.2,7.2
Achy (60690),/management/ville/achy/ville-60004,7.6,8.1,8.3,8.3,7.5,7,9,9.2,8.7,9.4,10.3,10.3,10.5,10.3,9.6,9.4,8.7
Acigné (35690),/management/ville/acigne/ville-35001,6.2,6.1,6.4,6.4,5.7,5.1,6.7,6.8,6.7,7.5,8,8,8,7.8,7,6.7,6.3
Aclou (27800),/management/ville/aclou/ville-27001,8.4,9,9,9,7.5,7.1,9.5,9.3,9.5,10.7,11.2,11,11.3,11.2,10.2,9.8,9
Acon (27570),/management/ville/acon/ville-27002,7.3,8,8.3,8.3,7.5,7,8.8,9.1,9,9.8,10.5,10.3,10.4,10.4,9.7,9.2,8.6
Acoua (97630),/management/ville/acoua/ville-97601,,,,,,,,,,,,,,,,,
Acq (62144),/management/ville/acq/ville-62007,7,7.4,8,8,7.3,7,8.5,8.6,8.7,9.2,9.6,9.4,9.3,8.9,8.3,8,7.5
Acquigny (27400),/management/ville/acquigny/ville-27003,8.8,9.3,9.1,9.1,8.1,7.5,9.4,9.5,9.5,10.2,10.8,10.7,10.7,10.6,9.9,9.4,8.9
Acquin-Westbécourt (62380),/management/ville/acquin-westbecourt/ville-62008,10.3,10.2,11.9,11.9,10.6,10,11.3,11.3,11.5,12.2,12.6,12.4,12.5,11.7,11,10.4,9.8
Acy (02200),/management/ville/acy/ville-02003,10.6,10.6,11.1,11.1,9.9,9.3,11.6,11.9,12.1,13.3,13.8,13.6,13.3,13.3,12.6,11.9,11.3
Acy-en-Multien (60620),/management/ville/acy-en-multien/ville-60005,9.2,9.7,9.4,9.4,8.5,7.8,9.3,9.7,9.8,10.4,10.9,11,11.1,10.8,10.2,9.8,9.4
Acy-Romance (08300),/management/ville/acy-romance/ville-08001,8.3,8.7,9.1,9.1,8,7.5,9.3,9.1,9.3,10,10.8,10.9,10.9,10.5,9.7,9.3,8.9
Adaincourt (57580),/management/ville/adaincourt/ville-57007,7.1,7.6,8,8,7.3,6.9,9.2,9.2,9,9.7,10.4,10.4,10.3,9.8,9.3,8.7,7.9
Adainville (78113),/management/ville/adainville/ville-78006,4.9,5.3,5.2,5.2,4.3,3.8,5,5.4,5.3,5.5,5.7,5.7,5.8,5.8,5.3,5.2,5.2
Adam-lès-Passavant (25360),/management/ville/adam-les-passavant/ville-25006,6.7,7,7.3,7.3,6.6,6.3,8.1,8,7.5,7.9,8.3,8.2,8.4,8.3,7.7,7.3,7
Adam-lès-Vercel (25530),/management/ville/adam-les-vercel/ville-25007,6.7,7,7.3,7.3,6.6,6.3,8.1,8,7.5,7.9,8.3,8.2,8.4,8.3,7.7,7.3,7
Adamswiller (67320),/management/ville/adamswiller/ville-67002,5.8,6.2,6.4,6.4,5.4,4.9,6.8,6.8,6.4,7.1,7.6,7.6,7.7,7.5,6.5,5.9,5.5
Adast (65260),/management/ville/adast/ville-65001,8.8,9.2,8.9,8.9,8.3,7.7,9.8,9.9,9.9,10.8,11.3,11.3,11.5,11.3,10.4,9.9,9.4
Adé (65100),/management/ville/ade/ville-65002,8.8,9.2,8.9,8.9,8.3,7.7,9.8,9.9,9.9,10.8,11.3,11.3,11.5,11.3,10.4,9.9,9.4
Adelange (57380),/management/ville/adelange/ville-57008,10.8,11.9,12.3,12.3,10.7,9.6,12.5,12.4,11.9,12.5,13.7,13.5,13.5,13.1,12.4,11.4,10.8
Adelans-et-le-Val-de-Bithaine (70200),/management/ville/adelans-et-le-val-de-bithaine/ville-70004,8.4,9.4,10.6,10.6,9.3,8.5,11.3,11,10.3,11.4,12.4,12.3,12,11.3,10,9.6,9.2
Adervielle-Pouchergues (65240),/management/ville/adervielle-pouchergues/ville-65003,8.8,9.2,8.9,8.9,8.3,7.7,9.8,9.9,9.9,10.8,11.3,11.3,11.5,11.3,10.4,9.9,9.4
Adilly (79200),/management/ville/adilly/ville-79002,6.5,6.6,6.8,6.8,5.6,5.7,7.6,7.6,7.2,8,8.5,8.3,8.8,8.9,7.8,7.3,6.7
Adinfer (62116),/management/ville/adinfer/ville-62009,7,7.4,8,8,7.3,7,8.5,8.6,8.7,9.2,9.6,9.4,9.3,8.9,8.3,8,7.5
Adissan (34230),/management/ville/adissan/ville-34002,14.2,14.2,14.9,14.9,13.4,12.7,15.1,15.4,15.6,16.8,17.8,17.9,18.2,18,17,16.5,15.7
